date,ticker,field,value
2013-08-01,MEXBOL Index,PX_HIGH,42019.1
2013-08-01,MEXBOL Index,PX_VOLUME,252062000.0
2013-08-02,MEXBOL Index,PX_OPEN,41866.86
2013-08-02,MEXBOL Index,PX_LAST,42051.6
2013-08-02,MEXBOL Index,PX_LOW,41660.57
2013-08-02,MEXBOL Index,PX_HIGH,42280.2
2013-08-02,MEXBOL Index,PX_VOLUME,214421400.0
2013-08-05,MEXBOL Index,PX_OPEN,42052.81
2013-08-05,MEXBOL Index,PX_LAST,41918.41
2013-08-05,MEXBOL Index,PX_LOW,41801.86
2013-08-05,MEXBOL Index,PX_HIGH,42143.56
2013-08-05,MEXBOL Index,PX_VOLUME,131852700.0
2013-08-06,MEXBOL Index,PX_OPEN,41903.36
2013-08-06,MEXBOL Index,PX_LAST,41914.82
2013-08-06,MEXBOL Index,PX_LOW,41413.64
2013-08-06,MEXBOL Index,PX_HIGH,42048.45
2013-08-06,MEXBOL Index,PX_VOLUME,209734000.0
2013-08-07,MEXBOL Index,PX_OPEN,41914.98
2013-08-07,MEXBOL Index,PX_LAST,42246.5
2013-08-07,MEXBOL Index,PX_LOW,41717.0
2013-08-07,MEXBOL Index,PX_HIGH,42305.02
2013-08-07,MEXBOL Index,PX_VOLUME,230797300.0
2013-08-08,MEXBOL Index,PX_OPEN,42244.48
2013-08-08,MEXBOL Index,PX_LAST,42712.05
2013-08-08,MEXBOL Index,PX_LOW,42224.33
2013-08-08,MEXBOL Index,PX_HIGH,42713.48
2013-08-08,MEXBOL Index,PX_VOLUME,266180200.0
2013-08-09,MEXBOL Index,PX_OPEN,42712.57
2013-08-09,MEXBOL Index,PX_LAST,42648.74
2013-08-09,MEXBOL Index,PX_LOW,42147.94
2013-08-09,MEXBOL Index,PX_HIGH,42737.3
2013-08-09,MEXBOL Index,PX_VOLUME,359844000.0
2013-08-12,MEXBOL Index,PX_OPEN,42649.78
2013-08-12,MEXBOL Index,PX_LAST,42124.84
2013-08-12,MEXBOL Index,PX_LOW,42094.19
2013-08-12,MEXBOL Index,PX_HIGH,42781.84
2013-08-12,MEXBOL Index,PX_VOLUME,207397000.0
2013-08-13,MEXBOL Index,PX_OPEN,42145.0
2013-08-13,MEXBOL Index,PX_LAST,42366.45
2013-08-13,MEXBOL Index,PX_LOW,41987.38
2013-08-13,MEXBOL Index,PX_HIGH,42441.46
2013-08-13,MEXBOL Index,PX_VOLUME,219628900.0
2013-08-14,MEXBOL Index,PX_OPEN,42369.8
2013-08-14,MEXBOL Index,PX_LAST,42430.11
2013-08-14,MEXBOL Index,PX_LOW,42280.68
